              disk0       cpu
    KB/t  tps  MB/s  us sy id
   12.00   28  0.33   8  2 90
    8.53   15  0.12  10  2 87
   11.40   20  0.22  10  3 87
    0.00    0  0.00  10  3 88
    9.01  556  4.89  14  5 81
   19.60   10  0.19  12  5 83
    5.76  251  1.41  14  6 81
    5.71    7  0.04  12  5 83
   13.37   38  0.49  10  3 87
   32.24   33  1.04  16  7 78
    9.12   25  0.22  13  4 83
   35.57  174  6.05  14  9 78
    7.15   75  0.52  16  6 78
   12.00   35  0.41  12  5 83
   16.38  305  4.88  15  7 78
   21.14   70  1.44  13  5 82
   11.13  322  3.50  17  9 74
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   17.73  149  2.58  16  8 76
    8.00   30  0.23  14  5 80
   11.16  963 10.49  20 11 69
   10.81  480  5.07  15 11 74
    7.00   36  0.25  16  6 78
    7.97  114  0.89  16  6 78
    9.33    6  0.05  12  5 83
   14.40   25  0.35  16  6 78
   17.74  593 10.27  34 27 39
    7.07  132  0.91  16  9 76
   11.25   32  0.35  17  8 75
    9.10   29  0.26  34 10 55
   29.30   71  2.03  27  9 64
   11.00  155  1.67  33 11 56
    9.14   14  0.12  28  9 64
    6.27   30  0.18  29  8 63
   19.02   61  1.13  29 12 59
   10.31  716  7.21  22 10 69
    8.70   40  0.34  10  5 85
    8.56   78  0.65  11  6 83
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   19.20  104  1.96  13  9 78
   18.58  779 14.14  21 11 68
   25.62  140  3.51  15  7 78
   10.41 1399 14.22  25 11 63
   27.02  378  9.96  19 14 68
    9.48  130  1.20  15  7 78
   17.19  606 10.17  18  9 73
   11.87  331  3.83  14  7 79
    5.94  197  1.14   8  4 88
    6.07  140  0.83   9  6 85
    8.80   20  0.17  11  5 84
   10.05   80  0.78  26  9 65
    5.78  763  4.31  12  5 83
   17.01  328  5.44  11  9 81
   10.44   36  0.37  13  7 81
    7.23  211  1.49  14  6 80
   11.43    7  0.08  10  3 87
   16.68  408  6.65  11  5 84
  112.00    1  0.11  10  5 86
   27.91 1224 33.36  25  8 66
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   26.13  423 10.80  24  6 70
    7.84  220  1.68   8  3 88
   86.80   10  0.85   8  4 88
    6.21  135  0.82  11  5 85
    7.82  642  4.91  12  7 81
   16.34   95  1.51  15  6 79
    9.32 2339 21.28  12  7 81
    6.89   72  0.48   8  4 88
    7.38  623  4.49   9  4 87
    7.88   32  0.25  10  5 85
    8.73   33  0.28   8  4 88
   12.00   23  0.27   7  3 90
   13.78   18  0.24   9  3 88
    9.32  135  1.23  10  5 85
   11.74   31  0.35   8  3 89
    7.16   19  0.13   9  3 87
    4.00    2  0.01   9  4 87
   16.18   22  0.35  10  5 85
   10.26  389  3.90  20 10 70
    6.00  921  5.40  24 11 66
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   29.74  381 11.05  19  9 71
    4.30  539  2.26  11  5 84
   22.66 2769 61.28  12  8 80
   18.95 6275 116.15  14 10 76
   26.85 4330 113.53  24  8 68
   28.99 2401 67.98  17  4 79
   17.57 2417 41.47  19  7 74
   20.58  656 13.18  17  4 79
   19.67  964 18.51  16  3 81
   23.59  337  7.77  22  9 70
    8.13   31  0.25  18  3 79
   35.37  372 12.86  19  6 76
   19.00   24  0.44  18  3 79
   13.37  108  1.41  19  3 78
    8.15   27  0.21  18  2 80
   26.60   20  0.52  19  2 78
    8.70  604  5.13  20  4 76
   12.48  109  1.33  19  3 78
   11.25   69  0.76  18  3 79
   11.06   64  0.69  20  5 75
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    9.04   23  0.20  18  2 80
   10.29   14  0.14  18  2 80
    8.89    9  0.08  18  3 79
   12.57    7  0.09  19  3 79
   10.75   32  0.33  17  2 81
   11.69   26  0.30  20  5 75
   15.67  846 12.95  20  6 74
   16.88   59  0.97  20  4 76
    8.17   24  0.19  17  2 81
    5.53  432  2.33  19  4 77
   13.03   35  0.44  19  2 79
    8.98  543  4.76  20  3 77
    8.71  349  2.97  17  4 79
   63.75  126  7.82  18  3 79
    7.66   35  0.26  18  2 80
    9.78    9  0.09  19  3 78
   10.59   51  0.53  18  3 79
  127.75   16  1.99  19  2 78
    5.94  199  1.16  18  3 79
   10.32  114  1.14  19  5 76
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    5.95  441  2.56  20  3 77
   11.29   62  0.68  18  3 79
   10.55   33  0.34  18  5 77
   10.50  128  1.31  20  4 77
    9.44   50  0.46  19  3 78
    7.64   44  0.33  19  3 79
    9.30  600  5.45  20  3 77
   12.24   98  1.17  17  3 80
    7.49  228  1.67  19  4 78
    6.01  306  1.79  21  7 72
   52.96 1780 92.06  16  5 79
   85.65 3251 271.96  13  6 81
    7.92 8975 69.44  19  8 73
   17.74 5752 99.65  20 15 65
   54.21 3124 165.40  29 15 56
   80.55 1540 121.12  28 12 60
   26.72  973 25.40  14  9 77
   30.59 3303 98.68  11  6 82
   38.76 6425 243.18  36 23 42
   60.62 5196 307.62  31 20 49
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    6.60 15413 99.34  30 10 60
   36.78 1176 42.25  18  5 78
   11.99  538  6.29   6  7 87
   12.15  363  4.31   6  4 90
    8.50   24  0.20   7  2 90
    7.98  568  4.43   9  4 86
   19.79  187  3.62   8  3 89
   11.43   14  0.16   6  2 92
   10.08   25  0.25   8  3 89
    6.33   55  0.34  10  5 85
    8.00   12  0.09   7  3 89
   13.33   21  0.27   6  2 91
    9.23   26  0.23   6  2 91
   12.47   17  0.21  11  5 84
   10.09   46  0.45   8  3 90
    6.81  798  5.30  10  4 87
   10.67   39  0.40   9  3 87
   97.09   22  2.08   7  3 90
    8.00   15  0.12   6  2 91
    7.57   46  0.34   9  7 84
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    8.84   19  0.16   9  4 86
   12.00    4  0.05   7  3 90
    8.56   36  0.30   8  4 89
   14.44   18  0.25   7  3 90
   10.67   33  0.34   7  3 90
   10.21   38  0.38   7  3 90
    7.89  282  2.17   8  5 87
   10.09  823  8.11  10  4 85
    8.62   13  0.11   8  3 89
    6.40   30  0.19   8  5 87
   12.32   38  0.46   8  6 86
   12.00    2  0.02   9  4 87
    9.37  373  3.41   6  7 87
    7.33   12  0.09   7  3 90
   12.20   20  0.24   7  2 91
    8.57    7  0.06   8  4 88
    8.24   17  0.14   7  4 89
  134.57   14  1.83   8  3 88
    9.74   23  0.22   7  2 91
    8.60   86  0.72   7  4 89
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    8.00   16  0.12   7  3 90
   10.00   12  0.12   7  4 90
    9.14   35  0.31   7  3 90
    6.51   70  0.44   7  4 90
    9.71   28  0.26   7  2 90
   33.68  166  5.47   8  3 89
    8.29   14  0.11   8  3 89
    6.80  864  5.73   8  4 88
    8.22   18  0.14   7  3 90
   10.60   43  0.44   8  4 88
   10.00   16  0.16   6  2 91
    0.00    0  0.00   6  2 91
    8.67   24  0.20   8  3 89
    9.12  493  4.38   9  5 86
    8.15   26  0.21   7  3 90
    0.00    0  0.00   7  3 91
    9.25   16  0.14   8  3 89
    0.00    0  0.00   5  2 92
    7.66   35  0.26   8  3 89
    6.18   22  0.13   9  4 87
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    6.24  172  1.05   8  4 88
    8.74  569  4.86   9  3 87
   10.19  367  3.66   6  7 87
    8.80   30  0.26   9  4 87
   16.25   16  0.25   7  2 90
    7.85  162  1.25   7  3 90
    9.49   59  0.55   8  3 89
    4.00    4  0.02   6  2 92
    6.18   33  0.20  10  4 86
    6.82   17  0.11   8  5 88
   10.35   17  0.17   6  2 92
   13.00    4  0.05   6  3 91
    8.44   27  0.22   6  2 92
    8.43   37  0.30   8  3 89
    7.76   17  0.13   8  4 88
   24.24   33  0.78   7  2 90
    8.50   24  0.20  10  3 87
    6.00    4  0.02   6  3 92
    7.85   26  0.20   7  3 90
    9.00   44  0.39   8  5 87
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    7.64   33  0.24   6  2 91
    0.00    0  0.00   6  2 92
    6.81  871  5.80   6  3 90
    8.91   44  0.38   8  3 89
   11.29   17  0.19   9  4 88
   14.72  177  2.55   9  3 89
   10.40   55  0.56   8  4 89
    4.00    6  0.02  10  4 86
   17.08   52  0.86  11  4 85
    8.33   24  0.19  10  6 85
    9.45   22  0.20   9  4 87
    4.00    6  0.02  10  4 87
    8.85  421  3.64   9  8 84
    9.05   38  0.33   8  3 89
   11.73   15  0.17   8  3 89
    6.26  160  0.98  10  4 86
   29.13 8176 232.54   8  6 86
   22.31 9355 203.79   7  5 88
   23.30 7980 181.54  11  5 84
   23.34 8731 198.96  10  7 83
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   21.98 8848 189.90  10  5 85
   25.10  874 21.42   8  5 88
    7.32  676  4.83   8  3 89
   17.38   84  1.42   9  4 88
   10.59   37  0.38   8  3 89
    8.19 1600 12.80  11  5 84
   54.16   63  3.31   9  3 87
    6.95   80  0.54   8  4 88
    7.66  557  4.17   9  4 87
    8.52   31  0.26   9  5 86
   13.47   19  0.25   7  3 90
   21.00    4  0.08   8  4 88
  232.70 1184 269.13   8  3 89
    8.69  807  6.84   9  5 86
    8.55   65  0.54   8  4 88
    6.86   49  0.33   8  3 88
   13.59  258  3.42  11  6 83
    8.96  695  6.08  14  7 79
    5.79  240  1.36   9  4 87
    6.57  101  0.65  10  6 85
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   10.66  218  2.27  15  4 81
    9.14   49  0.44   9  4 87
  132.80 2119 274.76   7  7 86
   10.38   47  0.48   7  3 90
    7.66  105  0.79   7  3 90
    6.08  153  0.91   8  3 89
   11.85   52  0.60   8  3 88
    4.00    4  0.02   6  3 91
    6.06   66  0.39   9  4 87
    6.00   24  0.14   9  5 86
    7.53   17  0.12   7  3 90
   26.00    2  0.05   7  3 90
   13.80   20  0.27   9  3 88
    9.43   28  0.26  14  4 82
   10.67   33  0.34  10  3 87
    4.22   18  0.07  10  3 87
    9.96   51  0.50  11  4 85
    4.00   13  0.05   7  4 89
    8.89   18  0.16   9  3 88
    7.47   38  0.28   8  4 88
              disk0       cpu
